time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-09-19T09:18:10.282Z,35.6655,140.9251,43.764,4.6,mb,37,119,2.367,1.65,us,us6000nt0t,2024-09-19T11:13:06.040Z,"11 km SE of Hasaki, Japan",earthquake,7.18,7.662,0.105,27,reviewed,us,us
2024-09-15T16:51:31.396Z,35.8737,140.1249,74.527,4.6,mb,42,133,1.687,0.57,us,us7000ne37,2024-09-26T16:12:18.352Z,"4 km SE of Toride, Japan",earthquake,7.54,6.973,0.095,33,reviewed,us,us
2024-09-01T02:28:41.780Z,35.5031,138.9388,37.932,4.6,mb,46,111,1.199,0.79,us,us6000nnz4,2024-09-26T00:05:48.773Z,"8 km ENE of Oshino, Japan",earthquake,6.49,3.59,0.098,31,reviewed,us,us
2024-08-27T17:05:10.519Z,35.5023,139.5701,41.267,3.9,mwr,29,108,1.514,1.05,us,us6000nn2w,2024-10-01T19:31:14.040Z,"10 km NW of Yokohama, Japan",earthquake,2.81,6.486,0.083,14,reviewed,us,us
2024-08-27T10:47:31.525Z,34.6084,140.1125,86.557,4.5,mb,36,124,1.51,1.17,us,us6000nn1p,2024-09-26T09:34:17.040Z,"47 km SSE of Tateyama, Japan",earthquake,3.98,7.785,0.106,26,reviewed,us,us
2024-08-23T12:00:56.562Z,35.9593,140.5129,54.487,4.5,mb,50,127,1.956,0.99,us,us7000n8z3,2024-09-20T07:00:11.040Z,"4 km NW of Itako, Japan",earthquake,2.59,7.021,0.09,36,reviewed,us,us
2024-08-22T12:55:20.770Z,33.3505,140.0468,158.549,4.3,mb,33,111,0.305,0.64,us,us7000ndkv,2024-09-16T14:04:06.040Z,"178 km SE of Shimoda, Japan",earthquake,5.21,4.666,0.169,10,reviewed,us,us
2024-08-17T06:32:09.569Z,32.4687,142.3781,10,5.2,mww,173,97,2.254,0.53,us,us7000n7kx,2024-09-19T06:06:55.040Z,"Izu Islands, Japan region",earthquake,8.14,1.845,0.073,18,reviewed,us,us
2024-08-15T11:20:35.980Z,35.4022,139.2242,30.314,4.1,mwr,49,72,0.896,0.74,us,us7000n750,2024-09-25T05:24:55.040Z,"3 km N of Hadano, Japan",earthquake,4.83,4.682,0.089,12,reviewed,us,us
2024-08-13T22:50:47.340Z,35.6135,140.8064,60.795,4.2,mb,23,172,2.299,0.45,us,us6000npvy,2024-09-06T03:20:55.040Z,"13 km S of Hasaki, Japan",earthquake,8,5.38,0.175,9,reviewed,us,us
2024-08-13T21:24:34.841Z,36.2677,142.0473,17.608,4.2,mb,24,202,3.108,0.89,us,us6000njxn,2024-09-06T02:58:58.040Z,"124 km ENE of Hasaki, Japan",earthquake,10.89,8.217,0.215,6,reviewed,us,us
2024-08-12T20:17:45.424Z,36.3194,142.0469,30.144,4.3,mb,37,135,3.107,0.56,us,us6000npp6,2024-09-06T14:02:07.040Z,"127 km ESE of Takahagi, Japan",earthquake,8.45,3.016,0.114,22,reviewed,us,us
2024-08-09T15:10:42.942Z,33.6922,140.4908,73.487,4.8,mb,65,123,3.302,0.58,us,us6000nj3a,2024-09-05T16:56:41.040Z,"154 km SSE of Tateyama, Japan",earthquake,9.34,6.321,0.059,90,reviewed,us,us
2024-08-09T10:57:39.340Z,35.4116,139.3122,30.275,5,mww,147,54,0.825,0.58,us,us6000nj24,2024-09-24T05:55:59.725Z,"1 km N of Isehara, Japan",earthquake,4.86,3.874,0.098,10,reviewed,us,us
2024-08-05T14:48:37.485Z,35.2187,139.4013,153.308,4.2,mb,18,131,1.637,0.7,us,us7000n90j,2024-09-11T21:30:12.040Z,"13 km S of Chigasaki, Japan",earthquake,6.43,8.714,0.2,7,reviewed,us,us
2024-08-04T11:11:58.875Z,36.0333,137.2448,260.509,4.7,mb,87,93,0.704,0.71,us,us6000ni1d,2024-08-23T06:57:43.040Z,"11 km S of Takayama, Japan",earthquake,8.42,5.2,0.027,419,reviewed,us,us
2024-08-01T05:54:48.443Z,33.6832,141.6271,29.33,4.4,mb,50,151,3.998,0.52,us,us6000nhaj,2024-08-24T05:17:57.040Z,"202 km SE of Katsuura, Japan",earthquake,13.85,7.007,0.087,38,reviewed,us,us
2024-07-30T16:47:16.455Z,35.6203,139.4463,125.485,4.6,mb,225,25,0.774,0.52,us,us6000ngwt,2024-08-24T18:12:28.260Z,"3 km SW of Tama, Japan",earthquake,4.57,4.384,0.039,216,reviewed,us,us
2024-07-25T04:01:41.982Z,35.3423,140.409,33.309,4.2,mb,37,81,0.085,0.82,us,us6000nfiy,2024-08-11T03:14:16.040Z,"4 km SE of Ichinomiya, Japan",earthquake,3.76,5.765,0.128,17,reviewed,us,us
2024-07-22T17:27:26.034Z,35.0286,141.5692,10,4.4,mb,44,129,2.401,0.81,us,us6000nej5,2024-08-11T13:18:00.040Z,"102 km SE of Hasaki, Japan",earthquake,5.37,1.872,0.11,24,reviewed,us,us
2024-07-18T15:17:35.762Z,35.9775,140.0506,84.198,4.4,mb,34,132,1.591,0.54,us,us7000n00u,2024-09-28T22:42:21.040Z,"6 km NE of Moriya, Japan",earthquake,3.66,8.094,0.114,22,reviewed,us,us
2024-07-18T11:07:34.561Z,33.578,140.3234,91,5.6,mww,157,30,0.628,1.17,us,us7000mzzc,2024-09-28T22:42:19.040Z,"161 km SSE of Tateyama, Japan",earthquake,5.58,1.824,0.042,54,reviewed,us,us
